canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
CCOc1ccc2cc(C(=O)/C=C/c3c(/C=C/c4ccc(OC)cc4)cc(OC)cc3OC)c(=O)oc2c1,CHEMBL3629810,nM,48090.0,uM,48.09
CCOc1cccc2cc(C(=O)/C=C/c3c(/C=C/c4ccc(OC)cc4)cc(OC)cc3OC)c(=O)oc12,CHEMBL3629809,nM,60000.0,uM,60.0
COc1ccc(/C=C/c2cc(OC)cc(OC)c2/C=C/C(=O)c2cc3cc(Br)ccc3oc2=O)cc1,CHEMBL3629808,nM,60000.0,uM,60.0
COc1ccc(/C=C/c2cc(OC)cc(OC)c2/C=C/C(=O)c2cc3ccc(Br)cc3oc2=O)cc1,CHEMBL3629807,nM,55300.0,uM,55.3
COc1ccc(/C=C/c2cc(OC)cc(OC)c2/C=C/C(=O)c2cc3cccc(Br)c3oc2=O)cc1,CHEMBL3629806,nM,60000.0,uM,60.0
COc1ccc(/C=C/c2cc(OC)cc(OC)c2/C=C/C(=O)c2cc3cc(Cl)ccc3oc2=O)cc1,CHEMBL3629805,nM,60000.0,uM,60.0
COc1ccc(/C=C/c2cc(OC)cc(OC)c2/C=C/C(=O)c2cc3c(OC)cc(OC)cc3oc2=O)cc1,CHEMBL3629811,nM,35500.0,uM,35.5
COc1ccc(/C=C/c2cc(OC)cc(OC)c2/C=C/C(=O)c2cc3cc(Br)cc(OC)c3oc2=O)cc1,CHEMBL3629812,nM,60000.0,uM,60.0
C=CCc1cc(OC)c2oc(=O)c(C(=O)/C=C/c3c(/C=C/c4ccc(OC)cc4)cc(OC)cc3OC)cc2c1,CHEMBL3629813,nM,50520.0,uM,50.52
COc1ccc(/C=C/c2cc(OC)cc(OC)c2/C=C/C(=O)c2cc3ccc(N(C)C)cc3oc2=O)cc1,CHEMBL3629814,nM,60000.0,uM,60.0
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,CHEMBL8706,nM,60000.0,uM,60.0
C#CCN(C)[C@H](C)Cc1ccccc1,CHEMBL972,nM,2890.0,uM,2.89
CC1(C(=O)N2CC(C#Cc3ccc4c(=O)c(-c5ccc(NS(C)(=O)=O)cc5)coc4c3)C2)COC1,CHEMBL3660744,nM,130000.0,nM,130000.0
