canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
CC(C)c1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CC[N+](C)([O-])[C@@H]1N2C.Cl,CHEMBL558409,nM,8380.0,uM,8.38
Cc1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CC[N+](C)([O-])[C@@H]2N3C)cc1.Cl,CHEMBL556603,nM,7610.0,uM,7.61
Cc1cccc(C)c1NC(=O)Oc1ccc2c(c1)[C@]1(C)CC[N+](C)([O-])[C@@H]1N2C.Cl,CHEMBL538603,nM,186000.0,uM,186.0
Cc1cc(C)cc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CC[N+](C)([O-])[C@@H]2N3C)c1.Cl,CHEMBL539625,nM,8580.0,uM,8.58
CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,CHEMBL1201092,nM,187200.0,uM,187.2
COc1cc(C(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,CHEMBL219262,nM,21.1,nM,21.1
CCN(CC)C(C)C(=O)N1c2ccccc2Sc2ccccc21,CHEMBL376514,nM,34700.0,nM,34700.0
COc1cc(CCC(=O)NCCCCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,CHEMBL219264,nM,39.8,nM,39.8
COc1cc(CCC(=O)NCCCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,CHEMBL219316,nM,102.0,nM,102.0
COc1cc(CCC(=O)NCCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,CHEMBL384886,nM,158.0,nM,158.0
COc1cc(CCC(=O)NCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,CHEMBL220141,nM,68.9,nM,68.9
COc1cc(CCC(=O)NCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,CHEMBL445846,nM,40.1,nM,40.1
COc1cc(CCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,CHEMBL219911,nM,40.1,nM,40.1
COc1cc(C(=O)NCCCCCCCCC(=O)NNc2c3c(cc4ccccc24)CCCC3)cc(OC)c1OC,CHEMBL374981,nM,5.99,nM,5.99
COc1cc(C(=O)NCCCCCCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,CHEMBL216159,nM,17.2,nM,17.2
COc1cc(C(=O)NCCCCCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,CHEMBL219569,nM,25.2,nM,25.2
COc1cc(C(=O)NCCCCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,CHEMBL434378,nM,55.7,nM,55.7
COc1cc(C(=O)NCCCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,CHEMBL219550,nM,18.1,nM,18.1
COc1cc(C(=O)NCCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,CHEMBL219063,nM,26.3,nM,26.3
COc1cc(C(=O)NCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,CHEMBL266045,nM,49.5,nM,49.5
COc1cc(C(=O)NCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,CHEMBL385269,nM,163.0,nM,163.0
O=Cc1ccc(O)cc1,CHEMBL14193,nM,1000000.0,uM,1000.0
COC(=O)CNC(=O)COc1ccc(C=O)cc1,CHEMBL232590,nM,98860.0,uM,98.86
COC(=O)C1CCCN1C(=O)COc1ccc(C=O)cc1,CHEMBL396629,,,,
COC(=O)C(Cc1ccc(O)cc1)NC(=O)COc1ccc(C=O)cc1,CHEMBL235771,,,,
COC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)COc1ccc(C=O)cc1,CHEMBL235565,nM,280.0,uM,0.28
COC(=O)CCC(NC(=O)COc1ccc(C=O)cc1)C(=O)OC,CHEMBL235564,nM,200000.0,uM,200.0
