canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
CCOP(=O)(OCC)[C@H](NC(=O)[C@@]1(O)[C@H](O)[C@]2(CC)C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@@H]7CN(CCc8c6[nH]c6ccccc86)C[C@](O)(CC)C7)c(OC)cc5N(C)[C@@H]14)[C@@H]32)C(C)C,CHEMBL2369082,nM,800.0,uM,0.8
Oc1nc(/C=C/c2ccccc2)nc2ccc(Br)cc12,CHEMBL50767,nM,2000.0,uM,2.0
CN1CCN(c2cc3nc(/C=C/c4ccccc4)nc(O)c3cc2F)CC1,CHEMBL298094,nM,40000.0,uM,40.0
O=c1oc(/C=C/c2ccccc2)nc2c(O)nc(O)nc12,CHEMBL298793,nM,40000.0,uM,40.0
CCOC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)[C@@]1(O)[C@H](O)[C@]2(CC)C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@@H]7CN(CCc8c6[nH]c6ccccc86)C[C@](O)(CC)C7)c(OC)cc5N(C)[C@@H]14)[C@@H]32,CHEMBL2369088,nM,200.0,uM,0.2
Oc1nc(/C=C/c2ccccc2)nc2cc(Cl)c(F)cc12,CHEMBL46351,nM,40000.0,uM,40.0
COc1ccc2c(O)nc(/C=C/c3ccccc3)nc2c1,CHEMBL44212,nM,5700.0,uM,5.7
Oc1nc(/C=C/c2ccccc2)nc2ccc3ncccc3c12,CHEMBL47353,nM,40000.0,uM,40.0
CCOP(=O)(OCC)C(C)NC(=O)[C@@]1(O)[C@H](O)[C@]2(CC)C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@@H]7CN(CCc8c6[nH]c6ccccc86)C[C@](O)(CC)C7)c(OC)cc5N(C)[C@@H]14)[C@@H]32,CHEMBL2369090,nM,100.0,uM,0.1
CCOP(=O)(CNC(=O)[C@@]1(O)[C@H](O)[C@]2(CC)C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@@H]7CN(CCc8c6[nH]c6ccccc86)C[C@](O)(CC)C7)c(OC)cc5N(C)[C@@H]14)[C@@H]32)OCC,CHEMBL2369087,nM,300.0,uM,0.3
Oc1ccc2nc(/C=C/c3ccccc3)nc(O)c2c1,CHEMBL432119,nM,40000.0,uM,40.0
Oc1nc(/C=C/c2ccccc2)nc2cc(N3CCCCC3)c(F)cc12,CHEMBL296732,nM,40000.0,uM,40.0
Cn1c(/C=C/c2ccccc2)nc(=O)c2cc(Cl)ccc21,CHEMBL49389,nM,40000.0,uM,40.0
Oc1nc(C#Cc2ccccc2)nc2ccc(Cl)cc12,CHEMBL49534,nM,40000.0,uM,40.0
